Epoch [40/300] selection: theta_s:1.0 TP: 10406 FP:2367 TN:35427 FN:1800
Epoch [40/300] relabelling:  correct: 8592 original: 1864 total: 10412
Epoch [41/300] selection: theta_s:1.0 TP: 10893 FP:2431 TN:34859 FN:1817
Epoch [41/300] relabelling:  correct: 9152 original: 1920 total: 11005
Epoch [42/300] selection: theta_s:1.0 TP: 9973 FP:2228 TN:35992 FN:1807
Epoch [42/300] relabelling:  correct: 8059 original: 1757 total: 9692
Epoch [43/300] selection: theta_s:1.0 TP: 9717 FP:2202 TN:36297 FN:1784
Epoch [43/300] relabelling:  correct: 7791 original: 1768 total: 9384
Epoch [44/300] selection: theta_s:1.0 TP: 10237 FP:2333 TN:35694 FN:1736
Epoch [44/300] relabelling:  correct: 8428 original: 1933 total: 10187
Epoch [45/300] selection: theta_s:1.0 TP: 9750 FP:2351 TN:36190 FN:1709
Epoch [45/300] relabelling:  correct: 7828 original: 1847 total: 9577
Epoch [46/300] selection: theta_s:1.0 TP: 10049 FP:2363 TN:35877 FN:1711
Epoch [46/300] relabelling:  correct: 8173 original: 1891 total: 9968
Epoch [47/300] selection: theta_s:1.0 TP: 9524 FP:2218 TN:36556 FN:1702
Epoch [47/300] relabelling:  correct: 7438 original: 1690 total: 9059
Epoch [48/300] selection: theta_s:1.0 TP: 10956 FP:2505 TN:34896 FN:1643
Epoch [48/300] relabelling:  correct: 9220 original: 2099 total: 11199
Epoch [49/300] selection: theta_s:1.0 TP: 9782 FP:2272 TN:36279 FN:1667
Epoch [49/300] relabelling:  correct: 7837 original: 1866 total: 9542
Epoch [50/300] selection: theta_s:1.0 TP: 10165 FP:2408 TN:35797 FN:1630
Epoch [50/300] relabelling:  correct: 8257 original: 1940 total: 10071
Epoch [51/300] selection: theta_s:1.0 TP: 9537 FP:2360 TN:36462 FN:1641
Epoch [51/300] relabelling:  correct: 7454 original: 1754 total: 9186
Epoch [52/300] selection: theta_s:1.0 TP: 11376 FP:2651 TN:34409 FN:1564
Epoch [52/300] relabelling:  correct: 9672 original: 2210 total: 11780
Epoch [53/300] selection: theta_s:1.0 TP: 10094 FP:2535 TN:35746 FN:1625
Epoch [53/300] relabelling:  correct: 8136 original: 1895 total: 10091
Epoch [54/300] selection: theta_s:1.0 TP: 10270 FP:2410 TN:35706 FN:1614
Epoch [54/300] relabelling:  correct: 8359 original: 1953 total: 10171
Epoch [55/300] selection: theta_s:1.0 TP: 9637 FP:2388 TN:36372 FN:1603
Epoch [55/300] relabelling:  correct: 7601 original: 1839 total: 9407
